company,title,location,job_id,apply_link,source
datadog,Senior Software Engineer - Bits AI SRE,"New York, New York, USA",7899164.0,https://careers.datadoghq.com/detail/7899164/?gh_jid=7899164,target_company
datadog,"Senior Systems Engineer, Technical Solutions (US-East)","Boston, Massachusetts, USA; New York, New York, USA",7923520.0,https://careers.datadoghq.com/detail/7923520/?gh_jid=7923520,target_company
cloudflare,"Systems Engineer, MAPS",Hybrid,7742773.0,https://boards.greenhouse.io/cloudflare/jobs/7742773?gh_jid=7742773,target_company
stripe,"Infrastructure Engineer, Privy",New York,7462961.0,https://stripe.com/jobs/search?gh_jid=7462961,target_company
